Actions,Aktionen
Active,Aktiv
Approved,Bestätigt
approved_button,"Zugriff genehmigen"
"Back to Offers","Zurück zu Angeboten"
denied_button,Abgelehnt
Denied,Abgelehnt
Description,Beschreibung
"Gift Card","Geschenkgutschein"
Inactive,Inaktiv
"List of Offers","Liste der Angebote"
Name,Name
Offer,Angebot
"Offer ID","Angebots ID"
Offers,"Bietet an"
Product,Produkt
"Product Bundle","Bündelprodukt"
Reference,Referenz
SKU,Artikelnummer
Status,Status
Stores,Shops
"The approval status was updated","Der Genehmigungsstatus wurde aktualisiert"
Type,Typ
"View Offer","Angebot anzeigen"
Visibility,Sichtbarkeit
"Waiting for Approval","Warten auf die Bestätigung"
waiting_for_approval_button,"Warten auf die Bestätigung"
