Actions,Aktionen
Active,Aktiv
Approved,Bestätigt
approved_offer_button,"Genehmigen"
"Back to Offers","Zurück zu Angeboten"
denied_offer_button,Abgelehnt
Denied,Abgelehnt
Description,Beschreibung
"Gift Card","Geschenkgutschein"
Inactive,Inaktiv
"List of Offers","Liste der Angebote"
Name,Name
Offer,Angebot
"Offer ID","Angebot ID"
Offers,"Bietet an"
Product,Produkt
"Product Bundle","Bündelprodukt"
Reference,Referenz
SKU,Artikelnummer
Status,Status
Stores,Shops
"The approval status was updated","Der Genehmigungsstatus wurde aktualisiert"
Type,Typ
"View Offer","Angebot anzeigen"
Visibility,Sichtbarkeit
"Waiting for Approval","Warten auf die Bestätigung"
waiting_for_approval,"Warten auf die Bestätigung"
