"Company Name","Company Name"
"Registration number","Registration Number"
Email,Email
Role,Role
Title,Title
"First Name","First Name"
"Last Name","Last Name"
Phone,Phone
"Banner URL","Banner URL"
"Logo URL","Logo URL"
"Public Email","Public Email"
"Public Phone","Public Phone"
Description,Description
"Banner url","Banner url"
"Average Delivery Time","Average Delivery Time"
"Terms and Conditions","Terms and Conditions"
"Cancellation Policy","Cancellation Policy"
Imprint,Imprint
"Data Privacy","Data Privacy"
"Is Active","Is Active"
City,City
"Zip Code","Zip Code"
Country,Country
Street,Street
Number,Number
"Addition to address","Addition to Address"
"Fax number","Fax Number"
Latitude,Latitude
Longitude,Longitude
"Merchant Reference","Merchant reference"
