"About the store","About the store"
"Addition to address","Addition to Address"
"Average Delivery Time","Average Delivery Time"
"Banner URL","Banner URL"
"Business Info","Business Info"
"Cancellation Policy","Cancellation Policy"
City,City
"Company Name","Company Name"
"Contact Details & Address","Contact Details & Address"
"Contact Person Details","Contact Person Details"
Country,Country
"Data Privacy","Data Privacy"
Description,Description
Dr,Dr
Email,Email
"Fax number","Fax Number"
"First Name","First Name"
Imprint,Imprint
"Is Active","Is Active"
"Last Name","Last Name"
Latitude,Latitude
"Logo URL","Logo URL"
Longitude,Longitude
"Merchant Company Details","Merchant Company Details"
"Merchant Reference","Merchant reference"
Mr,Mr
Mrs,Mrs
Ms,Ms
Number,Number
"Online Profile","Online Profile"
"Online Status","Online Status"
"Phone Number","Phone Number"
Profile,Profile
profile.status.message.online,"<p><br>This means that your store is availiable online and people can see it.</p>"
profile.status.message.offline,"<p><br>This means that your store is not availiable online and noone can see it.</p>"
"Provide a logo URL","Provide a logo URL"
"Provide a banner URL","Provide a banner URL"
"Provide Average Delivery Time","Provide Average Delivery Time"
"Provide Data Privacy","Provide Data Privacy"
"Provide Imprint","Provide Imprint"
"Provide Return Policy","Provide Return Policy"
"Provide Terms & Conditions","Provide Terms & Conditions"
"Provide the URL of your Store","Provide the URL of your Store"
"Registration number","Registration Number"
"Return Policy","Return Policy"
Role,Role
select.default.placeholder,Select
"Store Profile URL","Store Profile URL"
store.state.online,"Your Store is online."
store.state.offline,"Your Store is offline."
Street,Street
"Tell us about your store","Tell us about your store"
"Terms and Conditions","Terms and Conditions"
"The Profile was saved successfully.","The Profile was saved successfully."
Title,Title
"Visual assets","Visual assets"
"Zip Code","Zip Code"

