"Add New User","Add New User"
"Add User","Add User"
"Assign Customers","Assign Customers"
Create,Create
"Edit User","Edit User"
"General Information","General Information"
"List Users","List of users"
"Repeat Password","Repeat Password"
Save,Save
Update,Update
"Last Login","Last Login"
"User entity was not created.","User entity was not created."
"User entity was not updated.","User entity was not updated."
"User was not activated.","User was not activated."
"User was not deactivated.","User was not deactivated."
"User was not deleted.","User was not deleted."
User,User
"Create new User","Create new User"
"Create user","Create user"
Warning,Warning
"Delete User","Delete User"
"You are trying to delete user","You are trying to delete user"
"Root group","Root group"
E-mail,E-Mail
