merchant_relation_key,store,currency,strategy,threshold,fee,message_en,message_de
sugar-moster-27-rif-hq-1,DE,EUR,hard-threshold,80000,,,
sugar-moster-27-rif-hq-1,DE,EUR,soft-threshold,120000,,,
sugar-moster-27-rif-hq-2,DE,EUR,hard-threshold,30000,,,
sugar-moster-27-rif-hq-2,DE,EUR,soft-threshold-flexible-fee,50000,12%,,
sugar-moster-27-rif-hq-3,DE,EUR,hard-threshold,50000,,,
sugar-moster-27-rif-hq-3,DE,EUR,soft-threshold-fixed-fee,65000,45,,
sugar-moster-27-rif-hq-4,DE,EUR,soft-threshold-flexible-fee,65000,10%,,
sugar-moster-27-rif-hq-4,DE,EUR,hard-threshold,50000,,,
sugar-moster-27-rif-hq-5,DE,EUR,hard-threshold,50000,,,
sugar-moster-27-rif-hq-5,DE,EUR,soft-threshold-fixed-fee,65000,45,,
sugar-moster-27-rif-hq-6,DE,EUR,soft-threshold-flexible-fee,25000,25%,,
sugar-moster-27-rif-hq-7,DE,EUR,soft-threshold-fixed-fee,40000,77,,
