"Add Customer","Add Customer"
"Add new Address","Add new Address"
"Address Line 1","Address Line 1"
"Address Line 2","Address Line 2"
"Address Line 3","Address Line 3"
Back,Back
"Back to Customer View","Back to Customer View"
"Back to Customers","Back to Customers"
"Back to Manage Addresses","Back to Manage Addresses"
City,City
Company,Company
Country,Country
"Customer Reference","Customer Reference"
"Date of birth","Date of birth"
Delete,Delete
"Delete account","Delete account"
"Edit Address","Edit Address"
"Edit Customer","Edit Customer"
Email,Email
"First Name","First Name"
"First name","First Name"
Gender,Gender
"Last name","Last name"
"List Customers","List of customers"
Locale,Locale
Phone,Phone
"Registered at","Registered at"
Salutation,Salutation
Save,Save
View,View
"View Customer","View Customer"
"Zed Account Reference","Zed Account Reference"
ZipCode,ZipCode
