"My Account","Mein Account"
"First name",Vorname
"Last name",Nachname
E-mail,E-Mail
Language,Sprache
Save,Speichern
"Change password","Passswort ändern"
"Success! The Account is updated.","Der Account wurde erfolgreich geändert."
"Please resolve all errors.","Bitte beheben Sie alle Fehler."
"This value should not be blank.","Dieser Wert sollte nicht leer sein."
"This value is not a valid email address.","Dies ist keine gültige E-Mail Adresse."
"A user with this email already exists.","Es existiert bereits ein Benutzer mit dieser E-Mail."
"Personal Details","Persönliche Daten"
"Email *","E-Mail *"
Password,Passwort
"Current password","Aktuelles Passwort"
"New password","Neues Passwort"
"Repeat new password","Neues Passwort wiederholen"
"The current password is invalid.","Das aktuelle Passwort ist nicht korrekt."
"The value needs to match the New Password input.","Die Werte für das neue Passwort müssen gleich sein."
"Success! The Password is updated.","Das Passwort wurde erfolgreich geändert."
