merchant_relation_key,merchant_key,company_business_unit_owner_key,company_business_unit_assignee_keys
mr-001,kudu-merchant-1,test-business-unit-1,"test-business-unit-2"
mr-002,oryx-merchant-1,test-business-unit-1,"test-business-unit-1;test-business-unit-2"
mr-003,oryx-merchant-1,test-business-unit-2,"test-business-unit-1"
mr-004,oryx-merchant-1,trial-bus-unit-1,
mr-005,oryx-merchant-1,trial-bus-unit-2,"trial-bus-unit-3;trial-bus-unit-1"
mr-006,oryx-merchant-1,proof-bus-unit-2,"proof-bus-unit-2"
mr-007,kudu-merchant-1,proof-bus-unit-1,"proof-bus-unit-1;proof-bus-unit-2;proof-bus-unit-3"
sugar-monster-27-rif-hq-1,sugar-monster,27_Rif_HQ,27_Rif_HQ
sugar-monster-27-rif-hq-2,sugar-monster,27_Rif_HQ,27_Rif_Barcelona
sugar-monster-27-rif-hq-3,sugar-monster,27_Rif_HQ,27_Rif_Zurich
sugar-monster-27-rif-hq-4,sugar-monster,27_Rif_HQ,27_Rif_Zurich_restaurant
sugar-monster-27-rif-hq-5,sugar-monster,27_Rif_HQ,27_Rif_Zurich_bakery
sugar-monster-27-rif-hq-6,sugar-monster,27_Rif_HQ,27_Rif_Berlin
sugar-monster-27-rif-hq-7,sugar-monster,27_Rif_HQ,27_Rif_HR department
sugar-monster-ottom-supplier-1,sugar-monster,Supplier_Department,Supplier_Department
sugar-monster-ottom-supplier-2,sugar-monster,Supplier_Department,Ottom_store_Berlin
sugar-monster-ottom-supplier-3,sugar-monster,Supplier_Department,Ottom_store_Oslo
sugar-monster-ottom-supplier-4,sugar-monster,Supplier_Department,Ottom_store_London
mr-008,restrictions-merchant,BU-IT-no-ASUS,BU-IT-no-tablets;BU-IT-no-ASUS
mr-009,restrictions-merchant,BU-IT-only-wearables,"BU-IT-only-wearables"
mr-010,restrictions-merchant,Sales-under-400,"Sales-under-400"
mr-011,restrictions-merchant,Sales,Sales;Sales-under-400
