"Add Company Role","Add company user role"
"Assigned Permissions","Assigned Permissions"
"Assigned Roles","Assigned Roles"
"Back to Roles","Back to Roles"
"Company Account","Company Account"
"Company Business Unit","Company Business Unit"
"Company role deletion confirmation","Company role deletion confirmation"
"Company Roles","Company Roles"
"Create Company Role","Create Company Role"
"Create role","Create role"
"Edit Company Role","Edit Company Role"
"Is Default","Is Default"
"It will be deleted from everywhere","It will be deleted from everywhere"
"List of Company Roles","List of Company Roles"
"Overview of Company Roles","Overview of Company Roles"
"Role ID","Role ID"
Roles,Roles
"Unassigned Permissions","Unassigned Permissions"
"Unassigned Roles","Unassigned Roles"
"Update role","Update role"
"You are trying to delete company role","You are trying to delete company role"
