Active,Active
"Add Offer","Add Offer"
Approved,Approved
"Always in stock","Always in stock"
Created,Created
"Created from","Created from"
"Created to","Created to"
"Create Offer","Create Offer"
Denied,Denied
"Expiring in %daysNumber% days","Expiring in %daysNumber% days"
"Has stock","Has stock"
Image,Image
Inactive,Inactive
"Low on Stock","Low on Stock"
"Manage Offers","Manage Offers"
"Merchant SKU","Merchant SKU"
Name,Name
Offers,Offers
Offline,Offline
"On Marketplace","On Marketplace"
Online,Online
"Out of stock","Out of stock"
Pending,Pending
Reference,Reference
Search,Search
"Search by SKU, Name","Search by SKU, Name"
Sku,SKU
Status,Status
Stock,Stock
Stores,Stores
Updated,Updated
"Updated from","Updated from"
"Updated to","Updated to"
Valid,Valid
"Valid From","Valid From"
"Valid, online & with Stock","Valid, online & with Stock"
"Valid To","Valid To"
Visibility,Visibility
"With Offers","With Offers"
"With Stock","With Stock"
"Without Offers","Without Offers"
