Activate,Aktivieren
Active,Aktiv
"Add image","Bild hinzufügen"
"Add image set","Bilderset hinzufügen"
"Create Product Set","Produktset erstellen"
Deactivate,Deaktivieren
Default,Standard
"Delete image","Lösche Bild"
"Delete image set","Bilderset löschen"
"Deselect All","Alle Markierungen aufheben"
"Deselected products","Aus der Auswahl entfernte Produkte"
Edit,Bearbeiten
ID,ID
"Image Set",Bildersets
"Image Set Name","Name des Bildersets"
Inactive,Inaktiv
Keywords,Schlüsselwörter
"Large Image URL","URL des großen Bildes"
"List of Sets","Liste der Sets"
Name,Name
Position,Position
Preview,Vorschau
Price,Preis
"Product details",Produktdetails
"Product Sets",Produktsets
"Products in this Set","Produkte in diesem Set"
"Products to be assigned","Zuzuordnende Produkte"
"Products to be deassigned","Zu entfernende Produkte"
"Reorder Product Sets","Produktesets neu ordnen"
Save,Speichern
"Select All","Alle auswählen"
"Select products to assign","Produkte zur Zuweisung auswählen"
Selected,Ausgewählt
"Selected products","Ausgewählte Produkte"
SEO,SEO
SKU,SKU
"Small Image URL","URL des kleinen Bildes"
Status,Status
Submit,Absenden
Title,Titel
URL,URL
View,Ansicht
Weight,Gewicht
"Weight defines sorting order. Product Sets with higher numbers listed first.","Das Gewicht bestimmt die Anordnung. Produktsets mit höheren Nummern werden zuerst gelistet."
