Currency,Währung
"Enter a quantity and the item price that should be applied if customer buys above that threshold","Geben Sie eine Anzahl und den Artikelpreis ein, der angewendet werden soll, wenn der Kunde über diesem Schwellenwert kauft"
"Price Dimension Name","Name der Preisdimension"
"Price Type",Preistyp
Store,Store
"Save and add more rows","Speichern und weitere Zeile hinzufügen"
"Save and exit","Speichern und beenden"
"Volume prices successfully saved.","Staffelpreise erfolgreich gespeichert."
"Volume prices",Staffelpreise
"Edit volume prices for product","Staffelpreise für Produkt bearbeiten"
"Edit volume prices","Staffelpreise bearbeiten"
