"Attach customer to company","Kunden einem Unternehmen zuordnen"
"Business Unit",Geschäftseinheit
"Business Unit",Geschäftseinheit
"Company user deletion confirmation","Löschen des Benutzers bestätigt"
"Company user deletion confirmation","Löschen des Benutzers bestätigt"
"Company Users",Benutzer
"Create Company User","Benutzer erstellen"
"Create Company User","Benutzer erstellen"
"Customer Access",Kundenzugang
E-Mail,E-Mail
"Edit Company User","Benutzer bearbeiten"
"Edit Company User","Benutzer bearbeiten"
"List of Company Users","Liste der Benutzer"
"List of Company Users","Liste der Benutzer"
"Overview of Company Users","Übersicht der Benutzer"
"Overview of Company Users","Übersicht der Benutzer"
"User ID",Nutzer-ID
